psraid,sample,int_date,fips,state,cregion,density,usr,vote01,pial1,pial2,pial3,pial4a,pial4b,pial4c,pial4d,pial4e,pial4f,pial5a,pial5b,pial5c,pial6a,pial6b,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,reg,party,partyln,ideo,zipcode,iphoneuse,hphoneuse,weight,standwt
100056,1,101212,36113,36,1,1,S,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,1, , ,2,1,1,1,34,8,2,1,4,1,1, ,2,12860,2,2,2.42105263157895,.569319888119218
100058,1,101212,13187,13,3,1,R,3,1,1,2,2,2,2,2,1,2,1,2,1,2,2,1, , ,2,1,1,2,50,8,2,1,6,2,3,2,3,30533,2,2,2.57894736842105,.606449446040037
100061,1,101212,12083,12,3,2,S,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1, , ,3,3,2,2,70,4,2,1,5,1,1, ,2,34431,2,2,2.31578947368421,.544566849505339
100063,1,101212,18095,18,2,2,U,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,3,1,1,2,39,4,2,1,6,1,2, ,3,46011,2,2,4.31578947368421,1.01487458316904
100064,1,101212,37183,37,3,4,U,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1, , ,1,3,2,2,82,4,2,1,6,1,3,9,3,27519,2,2,1.05263157894737,.24753038613879
100066,1,101212,21193,21,3,1,R,1,1,1,2,1,1,2,1,1,1,1,1,2,2,1,1, , ,2,1,1,1,45,4,2,1,7,1,2, ,3,41702,2,2,2.63157894736842,.618825965346976
100073,1,101212,25013,25,1,3,S,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1, , ,3,1,2,1,30,4,2,1,9,1,1, ,2,01056,2,2,9.05263157894737,2.1287613207936
100076,1,101212,36103,36,1,4,S,1,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,73,6,2,1,9,1,2, ,4,11769,2,2,1,.235153866831851
100084,1,101212,51195,51,3,1,R,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,1, , ,2,3,1,2,53,4,2,1,7,1,2, ,3,24219,2,2,2.94736842105263,.693085081188613
100088,1,101212,54021,54,3,1,R,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1, ,2,3,2,1,53,3,2,1,2,1,3,9,1,25267,1,2,6.78947368421053,1.5965709905952
100094,1,101212,13139,13,3,3,S,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,1, , ,3,3,2,2,66,3,2,1,3,1,3,2,3,30566,2,2,2.94736842105263,.693085081188613
100099,1,101212,39107,39,2,1,R,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,2,3,2,1,78,3,2,1,3,1,3,1,1,45883,1,1,6.15789473684211,1.44805275891192
100102,1,101212,10003,10,3,4,S,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1, , ,2,1,1,1,41,4,2,1,8,1,1, ,2,19701,2,2,3.94736842105263,.928238948020464
100107,1,101212,12083,12,3,2,S,1,1,1,1,1,1,1,2,2,1,1,2,1,2,2,1, , ,1,1,2,2,55,3,2,2,2,1,2, ,2,34472,2,2,2.89473684210526,.680708561881674
100108,1,101212,42107,42,1,2,R,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,2,1,1,1,47,6,2,1,7,1,1, ,3,17922,2,2,3.26315789473684,.76734419703025
100109,1,101212,24011,24,3,1,R,4,2,2,2, , , , , , , , , , , ,1, , ,1,3,2,2,72,4,2,1,2,1,2, ,3,21639,2,2,1,.235153866831851
100110,1,101212,39043,39,2,2,U,1,1,1,1,1,2,2,2,2,1,2,2,1,2,2,1, , ,2,3,2,2,67,3,2,1,4,1,2, ,3,44870,2,2,3.05263157894737,.717838119802493
100113,1,101212,13121,13,3,4,U,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1, , ,1,1,2,2,43,8,2,1,6,1,3,9,3,30318,2,2,1.68421052631579,.396048617822065
100116,1,101212,12123,12,3,1,S,1,2,2,2, , , , , , , , , , , ,2,2, ,1,3,2,2,75,3,2,1,1,1,2, ,2,32357,1,1,2,.470307733663702
100122,1,101212,25001,25,1,3,S,1,1,1,2,1,1,2,1,1,1,2,2,1,2,1,1, , ,2,1,1,1,54,6,2,4,8,1,3,2,5,02645,2,2,3.10526315789474,.730214639109432
100126,1,101212,9003,9,1,4,S,1,1,1,1,1,2,2,1,2,2,2,2,2,2,2,1, , ,1,3,2,2,53,8,2,1,9,1,5,1,3,06109,2,2,1.89473684210526,.445554695049823
100132,1,101212,23017,23,1,1,R,1,1,1,1,2,1,2,2,1,2,2,1,1,2,1,1, , ,4,3,2,2,36,4,2,1,2,3,3,1,3,04037,2,2,3.63157894736842,.853979832178827
100143,1,101212,9009,9,1,4,S,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1, , ,2,2,2,2,65,8,2,1,7,1,3,1,2,06492,2,2,1.63157894736842,.383672098515125
100147,1,101212,42129,42,1,3,S,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1, , ,2,1,1,1,30,5,2,1,6,1,1, ,1,15650,2,2,8.42105263157895,1.98024308911032
100148,1,101212,51680,51,3,4,S,3,1,1,1,1,1,1,2,1,2,2,2,1,2,2,1, , ,2,1,9,2,55,3,2,1,99,1,4,9,2,24501,2,2,3.78947368421053,.891109390099646
100153,1,101212,54079,54,3,2,S,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,3,3,2,2,99,3,2,1,3,1,3,9,3,25526,2,2,3.8421052631579,.903485909406585
100155,1,101212,23031,23,1,2,S,1,1,1,1,1,1,1,1,2,2,1,1,1,2,2,1, , ,2,3,1,2,30,6,2,1,8,1,3,2,3,03908,2,2,4.57894736842105,1.07675717970374
100171,1,101212,42003,42,1,4,S,4,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1, , ,1,1,2,1,42,6,2,1,6,3,3,2,3,15237,2,2,1.89473684210526,.445554695049823
100173,1,101212,39033,39,2,2,R,1,2,2,2, , , , , , , , , , , ,2,2, ,1,2,2,2,58,6,2,1,1,1,2, ,3,44820,1,1,1.68421052631579,.396048617822065
100175,1,101212,12095,12,3,4,S,1,1,1,2,1,1,2,2,1,2,2,2,1,2,2,1, , ,1,3,2,2,23,4,2,1,1,1,3,1,3,32792,2,2,2.89473684210526,.680708561881674
100178,1,101212,12011,12,3,4,S,3,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,2, ,2,3,2,2,99,8,2,1,99,1,9,9,3,33021,1,1,4.73684210526316,1.11388673762456
100181,1,101212,44007,44,1,4,S,1,1,1,2,1,2,2,2,1,1,2,2,2,2,2,1, , ,2,3,2,2,69,8,2,1,7,1,2, ,4,02828,2,2,1.63157894736842,.383672098515125
