CaseID,weight1,weight2,tm_start,tm_finish,duration,XTESS089,XPPRACEM,XPARTY7,XIDEO,XREL1,XREL2,Block_Order_First,Block_Order_Second,Image_Shown,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET
2,.15,.79,10/28/2011,10/28/2011,2,22,4,6,2,2,5,2,1,22,2,4,6,4,2,4,6,4,3,3,40,3,2,10,3,3,2,1,6,1,15,1,1,1,1,1,14,0,0,2,2,2,7,1
3,.01,.07,10/28/2011,10/28/2011,3,18,4,5,3,13, ,1,2,18,4,8,7,6,6,8,9,7,2,1,37,3,2,13,4,3,2,1,2,1,19,1,1,2,3,1,32,0,0,0,0,2,1,1
4,1.86,.73,10/28/2011,10/28/2011,0,7,1,6,4,3,5,1,2,7,2,2,6,4,1,2,6,3,2,1,50,4,3,12,4,1,1,1,2,1,17,6,1,1,2,1,22,0,0,0,0,2,1,1
5,1.38,.54,10/28/2011,10/28/2011,2,19,1,5,4,3,2,2,1,19,1,2,8,4,2,3,6,4,3,1,51,4,3,12,4,1,2,1,4,1,13,1,1,1,1,1,14,0,0,1,1,2,7,1
6,.07,.38,10/28/2011,10/28/2011,0,15,4,5,4,1,5,2,1,15,3,2,6,4,4,4,4,4,3,2,30,2,2,12,4,3,2,0,4,1,16,1,1,4,8,1,86,0,0,1,0,3,1,1
7,.03,.17,10/28/2011,10/28/2011,1,21,4,5,4,3,3,1,2,21,2,3,6,4,4,4,5,4,3,4,24,1,1,10,3,3,2,1,2,3,7,5,1,3,5,2,59,0,0,0,0,2,4,1
8,.06,.29,10/28/2011,10/28/2011,1,3,4,6,3,1,5,1,2,3,4,4,4,3,4,4,4,3,3,3,30,2,2,12,4,3,1,0,3,1,17,1,1,3,7,1,74,0,0,0,0,3,1,1
9,.07,.38,10/28/2011,10/28/2011,2,11,4,5,3,8,5,2,1,11,4,4,6,6,6,4,8,6,3,3,49,4,3,14,4,3,1,1,3,1,17,1,1,1,2,1,22,0,0,0,1,2,1,1
10,2.05,.8,10/28/2011,10/28/2011,2,4,1,7,2,13, ,1,2,4,0,6,4,6,0,6,4,6,4,3,65,6,4,14,4,1,1,1,1,1,13,5,1,3,5,1,59,0,0,0,0,1,5,1
11,4.74,1.85,10/28/2011,10/28/2011,1,1,1,5,4,3,2,1,2,1,3,5,6,5,3,4,5,4,3,1,53,4,3,12,4,1,1,1,1,1,9,3,0,3,6,1,64,0,0,0,0,1,1,1
